,SID,SCAPN,SCSitus_NumNam,Building_age,Cap_rate_pro_forma,Cap_rate_actual,Land_value,Total_value,Assessed_yr,Floor_area_ratio,Num_floors,Price_per_sqft,Land_price_per_AC,Sale_date,Sale_price,Listing_broker_company
10752,S10753,GA DeKalb 16-0087-01-005,GA DeKalb 5959 Fairington Rd,48.0,,10.33,319600.0,3105300.0,1997.0,0.319168764,2.0,22.05,306551.3,5/21/98,12400000.0,"Apartment Group, Inc."
10753,S10754,GA Gwinnett 6-191-071,GA Gwinnett 1355 Graves Rd,47.0,,,2108480.0,5180000.0,2009.0,0.283900038,3.0,33.04,408601.66,10/5/10,12066007.0,
10754,S10755,GA Clayton 12-074B-00A-005,GA Clayton 3196 Mount Zion Rd,23.0,,,0.0,5210670.0,2007.0,0.225283698,2.0,456.61,4480898.76,8/26/08,11823350.0,
10755,S10756,GA Fulton 13-0060-0000-053,GA Fulton 2135 Godby Rd,47.0,,,709400.0,11414800.0,2004.0,0.42243694200000004,2.0,24.67,454020.78,5/6/05,11800000.0,The Wiley Real Estate Group
10756,S10757,GA Clayton 13-216D-00B-007,GA Clayton 8000 Highway 85,,,,1629500.0,9551000.0,2004.0,1.000000253,1.0,2.93,127584.95,2/18/04,11582800.0,
10757,S10758,GA Gwinnett 6-275-006,GA Gwinnett 6520 Hillandale Dr,46.0,,7.83,9777500.0,14700000.0,2011.0,0.285493192,2.0,20.58,255953.71,4/11/12,11500000.0,Cushman & Wakefield
10758,S10759,"GA Gwinnett 6-191-071,079",GA Gwinnett 1355 Graves Rd,47.0,,10.24,,,,0.283900038,3.0,30.23,373857.09,6/7/96,11040000.0,Newmark Knight Frank
10759,S10760,GA Henry 074--01-024-000,GA Henry 200 Willow Ln,33.0,,7.5,3970800.0,5272200.0,2016.0,0.001069975,1.0,2382.5,111043.81,5/25/17,11000000.0,Colliers International South Florida
10760,S10761,GA Clayton S10761,GA Clayton 8000 Highway 85,,,,,,,1.000000253,1.0,2.73,119065.81,4/5/13,10809390.0,
10761,S10762,GA Fulton 12-2180-0505-049,GA Fulton 555 Eagles Crest Village Ln,34.0,,,2991700.0,9315800.0,2004.0,0.294000067,3.0,49.07,628421.67,1/28/05,10790000.0,Newmark Knight Frank
10762,S10763,GA Cobb 17-0651-0014,GA Cobb 861 Franklin Rd,46.0,,10.9,,,,0.271370458,2.0,35.14,415374.83,10/16/96,10450000.0,Newmark Knight Frank
10763,S10764,GA Fulton 12-2930-0821-036-7,GA Fulton 9230 Nesbit Ferry Rd,33.0,,9.96,,,,0.173047173,2.0,50.73,382428.47,7/14/95,10425000.0,CB Richard Ellis
10764,S10765,GA Fulton S10765,GA Fulton 1021 Harwell Rd,48.0,,,,,,0.296256458,2.0,22.83,294619.98,12/2/16,10350000.0,
