,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
33,NC Wake 0763.14-22-9827-000,NC Wake101 Ashton Pl,P8176,3,Cary,NC,27511,Wake,,N,11.27,130,,,955.0,0.3,2.062,,Playground,1983.0,,,,10.34,,Wood Frame,,,,,,,,,,,130.0,1.0,955.0,0.3,0.0,,,,,,,,,,,42.1,39.1,3636.0,39.5,3755.0
34,NC Cabarrus 5613-36-3768-0000,NC Cabarrus620 Atlantic Ct,P8177,3,Kannapolis,NC,280814796,Cabarrus,,N,12.24,100,,5.0,1048.0,0.7,0.0,,,1973.0,,,,33.79,,Masonry,,,,,,8.0,0.82,750.0,0.6,0.0,40.0,0.73,1000.0,0.4,2.5,36.0,0.72,1100.0,0.9,8.3,16.0,0.75,1200.0,0.9,6.3,36.1,36.2,2015.0,37.2,2048.0
35,NC Guilford 0095174,NC Guilford5626 Atwater Rd,P8178,2,Greensboro,NC,274077062,Guilford,,N,17.46,123,,6.5,,0.0,,,,1950.0,1970.0,09/08/14,"500,000",13.1,,Wood Frame,,,,,,,,,,,,,,,,,,,,,,,,,,35.1,37.7,1154.0,38.9,1182.0
36,NC Guilford 0020250,NC Guilford 206-207 Avalon,P8179,2,Greensboro,NC,27401,Guilford,,N,1.48,116,,2.59,860.0,0.4,0.431,,,1966.0,,,,14.22,,,,,,,,,,,,,116.0,0.5,860.0,0.4,2.6,,,,,,,,,,,29.9,31.5,3512.0,32.5,3616.0
37,NC Forsyth 6836-11-7843,NC Forsyth100 Azalea Terrace Ct,P8180,3,Winston-Salem,NC,27105,Forsyth,,N,2.37,100,,8.0,438.0,0.9,,,,2001.0,,,,24.83,,Wood Frame,,,,,,100.0,1.34,438.0,0.9,8.0,,,,,,,,,,,,,,,,36.0,36.4,3059.0,37.3,3282.0
38,NC Forsyth 6832-77-7418,NC Forsyth338 Barnes Rd,P8181,2,Winston-Salem,NC,27107,Forsyth,,N,30.61,100,,5.0,,0.0,1.2,,,1965.0,,05/31/18,"3,571,000",27.09,,Wood Frame,,,,,,100.0,,,,5.0,,,,,,,,,,,,,,,,33.5,35.3,462.0,36.5,466.0
39,NC Mecklenburg 099-211-05,NC Mecklenburg7123 Barrington Dr,P8182,3,Charlotte,NC,28215,Mecklenburg,,N,10.0,101,,4.95,941.0,0.5,,,"24 Hour Access, Business Center, Clubhouse, Courtyard, Laundry Facilities, Playground, Gameroom, Grill, Recycling, Storage Space",1973.0,,03/14/19,"6,482,000",16.3,,Wood Frame,,,,,,,,,,,39.0,0.87,850.0,0.8,7.7,36.0,0.93,925.0,0.4,2.8,26.0,0.89,1100.0,0.4,3.9,32.9,34.6,3148.0,35.8,3170.0
40,NC Buncombe 9648-16-2134-00000,NC Buncombe121 Bartlett St,P8183,3,Asheville,NC,28801,Buncombe,,N,4.72,114,,2.63,634.0,0.5,0.526,,,1979.0,,,,14.17,,Masonry,88.0,0.97,600.0,0.4,2.3,26.0,0.9,750.0,0.6,3.9,,,,,,,,,,,,,,,,38.9,40.9,2045.0,41.7,1816.0
41,NC Cumberland 0408-71-5999,NC Cumberland5441 Basking Ridge Dr,P8184,4,Fayetteville,NC,283141568,Cumberland,,N,10.46,108,,11.11,850.0,2.7,1.6480000000000001,,"Fitness Center, Playground, Property Manager on Site, Basketball Court, Package Service, Maintenance on site, Sundeck",2001.0,,09/20/16,"4,550,000",9.15,,Wood Frame,,,,,,54.0,0.81,700.0,3.0,11.1,54.0,0.7,1000.0,2.5,11.1,,,,,,,,,,,34.2,35.2,1922.0,36.1,1722.0
42,NC Buncombe 9649-20-8945-00000,NC Buncombe1 Battle Sq,P8185,3,Asheville,NC,28801,Buncombe,,N,0.73,121,,1.65,507.0,0.3,0.0,,"Business Center, Laundry Facilities",1925.0,,,,14.55,,Masonry,,,,,,112.0,1.96,500.0,0.3,0.9,9.0,1.94,600.0,0.9,11.1,,,,,,,,,,,37.8,40.5,3287.0,41.6,2756.0
43,NC Guilford 0080316,NC Guilford3844 Battleground Ave,P8186,3,Greensboro,NC,27410,Guilford,,N,19.91,128,,7.03,944.0,0.7,1.9140000000000001,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Property Manager on Site, Tennis Court, Package Service, Maintenance on site",1985.0,,08/31/16,"9,310,000",6.97,,Wood Frame,,,,,,54.0,1.03,810.0,0.0,7.4,74.0,0.84,1041.0,1.2,6.8,,,,,,,,,,,38.1,37.9,1865.0,38.3,1576.0
44,NC Wake 0794.19-50-7874-000,NC Wake2210 Baver Ave,P8187,3,Raleigh,NC,27607,Wake,,N,508.06,106,,4.72,550.0,0.0,,,"24 Hour Access, Laundry Facilities, Smoke Free, Wi-Fi, Lounge",1896.0,,,,12.15,,,106.0,,550.0,,4.7,,,,,,,,,,,,,,,,,,,,,28.1,31.0,7485.0,32.7,6992.0
45,NC New Hanover R07800-006-263-000,NC New Hanover100 Beau Rivage Dr,P8188,4,Wilmington,NC,284122713,New Hanover,,N,13.39,120,,0.83,996.0,0.5,,,"Clubhouse, Fitness Center, Picnic Area, Pool, Property Manager on Site, Spa, Breakfast/Coffee Concierge, Grill, Pet Play Area, Recycling, Wi-Fi, Bicycle Storage, Online Services, Pet Washing Station, Sundeck",2018.0,,,,16.57,,,,,,,,120.0,1.15,996.0,0.5,0.8,,,,,,,,,,,,,,,,36.5,38.5,1070.0,39.2,1218.0
46,NC Alamance 139193,NC Alamance1336 Beaumont Ct,P8189,2,Burlington,NC,272171709,Alamance,,N,8.07,100,,,1175.0,0.2,1.44,,"Business Center, Property Manager on Site, Basketball Court",1972.0,1990.0,12/10/15,"2,600,000",35.95,,Wood Frame,,,,,,11.0,0.72,750.0,0.3,0.0,22.0,0.72,1000.0,0.2,0.0,33.0,0.66,1200.0,0.2,0.0,34.0,0.65,1400.0,0.2,0.0,37.9,38.4,1595.0,38.9,1687.0
47,NC Guilford P8190,NC Guilford2452 Bellemeade St,P8190,3,High Point,NC,27263,Guilford,,N,15.08,120,,10.83,862.0,3.9,,,"Clubhouse, Fitness Center, Laundry Facilities, Playground, Property Manager on Site, Laundry Service",2003.0,,05/24/07,"6,800,000",19.14,,,,,,,,32.0,1.0,627.0,1.0,12.5,72.0,0.82,889.0,5.8,11.1,16.0,0.7,1211.0,0.7,6.3,,,,,,33.9,35.9,932.0,36.9,960.0
48,NC Henderson 9901387,NC Henderson130 Bent Tree Dr,P8191,2,Hendersonville,NC,28739,Henderson,,N,0.3059,120,,4.17,,0.0,,,,1983.0,,,,12.82,,,,,,,,,,,,,120.0,,,,4.2,,,,,,,,,,,48.0,48.4,598.0,48.5,636.0
