,SCAPN,SCSitus_NumNam,PropID,Star_rating,City,State,Zip,County,For_sale_price,For_sale_status,Land_area,Num_units,Cap_rate,Vacancy_%,Avg_unit_sqft,Avg_Concession_%,Parking_per_unit,Days_on_mkt,Amenities,Year_built,Year_reno,Last_sale_date,Last_sale_price,Transit_dist_mile,Transit_walk_time_min,Const_material,Num_studio,Studio_rent_sqft,Studio_avg_sqft,Studio_concession_%,Studio_vacancy_%,Num_1_bed,1_bed_rent_sqft,1_bed_avg_sqft,1_bed_concession_%,1_bed_vacancy_%,Num_2_bed,2_bed_rent_sqft,2_bed_avg_sqft,2_bed_concession_%,2_bed_vacancy_%,Num_3_bed,3_bed_rent_sqft,3_bed_avg_sqft,3_bed_concession_%,3_bed_vacancy_%,Num_4_bed,4_bed_rent_sqft,4_bed_avg_sqft,4_bed_concession_%,4_bed_vacancy_%,2010_Avg_age,2019_Avg_age,2019_Pop_25_39,2024_Avg_age,2024_Pop_25_39
20,GA Fulton 14-0167-LL-071-2,GA Fulton1935 Alison Ct,P21,2,Atlanta,GA,303115065,Fulton,,N,17.67,238,,34.87,805.0,1.0,4.202,,"Laundry Facilities, Property Manager on Site",1966.0,2018.0,01/11/18,"6,845,200",6.86,,Masonry,,,,,,132.0,0.98,648.0,1.0,34.9,28.0,0.8,975.0,1.0,35.7,78.0,0.84,1010.0,1.0,34.6,,,,,,35.0,36.1,2709.0,36.8,2769.0
21,GA Fulton 14-0167-0004-015-4,GA Fulton1990 Alison Ct,P22,2,Atlanta,GA,30311,Fulton,,N,8.123,196,,86.73,622.0,1.0,0.612,,"Laundry Facilities, Property Manager on Site, Laundry Service, Planned Social Activities",1963.0,2020.0,01/11/18,"5,637,200",6.99,,Masonry,,,,,,148.0,1.08,584.0,1.0,86.5,48.0,0.9,740.0,1.0,87.5,,,,,,,,,,,35.1,36.2,2726.0,36.9,2796.0
22,GA Fulton 12-2250-0546-059,GA Fulton11251 Alpharetta Hwy,P23,3,Roswell,GA,30076,Fulton,,N,28.94,236,,5.08,925.0,0.0,0.847,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Playground, Tennis Court, Pet Play Area, Volleyball Court",1985.0,,06/01/16,"26,750,000",35.27,,Wood Frame,,,,,,61.0,1.44,733.0,0.0,4.9,155.0,1.18,964.0,0.0,5.2,20.0,1.24,1212.0,0.0,5.0,,,,,,37.1,38.3,180.0,39.4,225.0
23,GA Fulton 12-1902-0412-060-8,GA Fulton1037 Alpharetta St,P24,4,Roswell,GA,300753601,Fulton,,N,,128,,,1031.0,0.0,,,,2020.0,,,,34.61,,,3.0,,589.0,,,48.0,,795.0,,,63.0,,1143.0,,,14.0,,1434.0,,,,,,,,40.5,41.7,1078.0,42.5,1120.0
24,GA Fulton 14-0072-0006-091-7,GA Fulton240 Amal Dr,P25,4,Atlanta,GA,303154859,Fulton,,N,6.0,100,,2.0,645.0,0.4,0.0,,"Controlled Access, Fitness Center, Laundry Facilities",2003.0,,12/30/14,"4,200,000",8.55,,Masonry,,,,,,70.0,1.22,600.0,0.4,1.4,30.0,1.11,750.0,0.6,3.3,,,,,,,,,,,34.3,35.3,2833.0,36.0,2935.0
25,GA Fulton 14-0173-0009-001-1,GA Fulton1080 Anderson Ave,P26,3,Atlanta,GA,30314,Fulton,,N,,120,,,1019.0,0.0,,,,2020.0,,,,0.38,8.0,,,,,,,52.0,,795.0,,,57.0,,1143.0,,,11.0,,1434.0,,,,,,,,38.9,38.8,2059.0,39.0,2315.0
26,GA Fulton 17-0099-0000-042,GA Fulton77 Andrews Dr,P27,3,Atlanta,GA,30305    ,Fulton,,N,30.12,250,,,,0.0,4.0,,Fitness Center,1965.0,,08/05/11,"39,350,000",18.65,,Masonry,,,,,,,,,,,250.0,,,,,,,,,,,,,,,40.6,38.8,8521.0,39.3,7318.0
27,GA Fulton 14-0018-0002-003,GA Fulton385 Angier Ave,P28,4,Atlanta,GA,30308,Fulton,,N,,228,,47.81,1072.0,0.0,1.601,,"Fitness Center, Gameroom, On-Site Retail, Package Service, Storage Space, Bicycle Storage, Pet Washing Station",2018.0,,,,13.67,,,,,,,,88.0,2.43,854.0,0.0,47.7,140.0,2.39,1214.0,0.0,47.9,,,,,,,,,,,35.3,36.0,9219.0,37.3,7130.0
28,GA Fulton 17-0147-LL-063-7,GA Fulton306 Ardmore Cir,P29,4,Atlanta,GA,30309,Fulton,,N,4.7924,165,,1.82,1599.0,0.4,0.606,,"Clubhouse, Courtyard, Fitness Center, Laundry Facilities, Property Manager on Site, Elevator",2015.0,,10/19/18,"39,000,000",16.07,,Wood Frame,,,,,,70.0,1.89,746.0,0.4,2.9,46.0,1.65,1242.0,0.4,0.0,32.0,1.03,3100.0,0.4,3.1,17.0,1.05,3248.0,0.4,0.0,34.0,34.8,8327.0,36.0,6802.0
29,GA Fulton 14-0072-0001-086-2,GA Fulton1483 Arthur Langford Pl,P30,2,Atlanta,GA,30315    ,Fulton,,N,4.67,126,,15.08,789.0,2.9,0.635,,"Laundry Facilities, Picnic Area",1963.0,,08/30/16,"2,485,000",9.24,,Wood Frame,,,,,,52.0,0.93,750.0,1.0,15.4,70.0,1.02,800.0,4.2,14.3,4.0,0.82,1100.0,1.0,25.0,,,,,,34.6,35.5,3761.0,36.2,3886.0
30,GA Fulton 14-0122-LL-040-1,GA Fulton1150 Astor Ave,P31,3,Atlanta,GA,30310,Fulton,,N,2.8480000000000003,191,,4.71,987.0,0.6,1.3090000000000002,,"Business Center, Clubhouse, Fitness Center, Laundry Facilities, Picnic Area, Playground, Security System, Grill, Walking/Biking Trails",2007.0,,,,0.26,5.0,Masonry,,,,,,58.0,1.15,768.0,0.6,5.2,126.0,0.81,1067.0,0.6,4.8,7.0,0.93,1356.0,0.6,0.0,,,,,,36.9,38.2,1552.0,39.0,1553.0
31,GA Fulton 14-0051-0012-256,GA Fulton171 Auburn Ave,P32,4,Atlanta,GA,30303,Fulton,,N,2.06,144,,2.08,1209.0,0.4,0.0,,"Clubhouse, Fitness Center, Tennis Court, Gated",2007.0,,06/30/17,"23,350,000",0.53,11.0,,,,,,,63.0,1.61,889.0,0.5,3.2,81.0,2.36,1451.0,0.3,1.2,,,,,,,,,,,34.4,35.2,9805.0,36.3,8922.0
32,GA Fulton 14 -0051-0009-163-6,GA Fulton210 Auburn Ave,P33,3,Atlanta,GA,30303    ,Fulton,,N,,180,,5.56,881.0,0.6,0.556,,,1972.0,,07/11/18,"4,000,000",0.59,12.0,Steel,,,,,,105.0,1.02,850.0,0.3,1.0,75.0,1.09,925.0,1.0,12.0,,,,,,,,,,,34.2,35.0,9964.0,36.1,9015.0
33,GA Fulton 14 -0046-0010-246-4,GA Fulton375 Auburn Ave,P34,3,Atlanta,GA,30312    ,Fulton,,N,,210,,48.57,565.0,1.0,0.0,,Laundry Facilities,1972.0,2019.0,05/01/17,"1,500,000",0.38,8.0,Masonry,80.0,1.13,552.0,1.0,47.5,130.0,1.46,573.0,1.0,49.2,,,,,,,,,,,,,,,,33.6,33.9,9399.0,34.8,8468.0
34,GA Fulton 12-2670-0675-049,GA Fulton100 Autumn Ridge Trl,P35,3,Roswell,GA,300764411,Fulton,,N,13.81,113,,2.65,1219.0,0.4,2.2119999999999997,,Fitness Center,1987.0,,05/31/18,"18,500,000",34.54,,Wood Frame,,,,,,10.0,1.5,872.0,1.0,20.0,93.0,1.16,1232.0,0.3,1.1,10.0,1.14,1446.0,0.3,0.0,,,,,,39.6,41.3,1757.0,42.4,1982.0
35,GA Fulton 12-2841-0802-071,GA Fulton1213 Avalon Blvd,P36,5,Alpharetta,GA,30009,Fulton,,N,,250,,8.0,978.0,0.0,1.2,,"Clubhouse, Fitness Center, Grill, Elevator",2014.0,,07/25/16,,,,Masonry,,,,,,150.0,2.29,794.0,0.0,8.0,100.0,2.19,1255.0,0.0,8.0,,,,,,,,,,,35.2,37.9,2285.0,39.3,2128.0
36,GA Fulton 12-2840-0803-037,GA Fulton7165 Avalon Blvd,P37,5,Alpharetta,GA,30009,Fulton,,N,,276,,16.3,1010.0,1.0,,,"Business Center, Clubhouse, Courtyard, Fitness Center, Grill, Maid Service, Confere Rooms, Elevator, Pet Washing Station",2017.0,,10/02/17,,,,,,,,,,165.0,2.28,838.0,1.0,16.4,111.0,2.3,1266.0,1.0,16.2,,,,,,,,,,,35.1,37.9,2303.0,39.3,2143.0
37,GA Fulton 14F-0109-LL-013-9,GA Fulton6200 Bakers Ferry Rd,P38,3,Atlanta,GA,303318392,Fulton,,N,16.74,180,,3.89,1162.0,0.5,1.389,,"Business Center, Clubhouse, Fitness Center, Playground, Property Manager on Site, Package Service, Storage Space, Maintenance on site, Sundeck",2003.0,,09/27/17,"17,980,000",13.56,,Masonry,,,,,,36.0,1.06,846.0,0.5,2.8,100.0,0.86,1186.0,0.5,4.0,44.0,0.93,1365.0,0.5,4.6,,,,,,34.8,36.4,1043.0,37.4,1164.0
